"sl_no","Credit","Head_Level","H1#","H1_Ch_Title","H1_Credits","H2#","H2_Sec_Title","H2_Credits","H3#","H3_Sec_Title","H3_Credits","Credits","Item_Count","Min_Points_1","Min_Points_2","Min_Points_3","Design_Resource","Instruction","timestamp","iteration","detailed_instruction"
"1","1","H1","1","Design Process","4","0",,"0","0",,"0","4","0","0","0","0",,,"2019-08-20 17:32:17","0",
"2","1.1","H2","1","Design Process","4","1","Project Development Team","2","0",,"0","2","6","3","5","0",,"2 Credits: Implement 5 of 6      |      1 Credit: Implement 3 of 6","2021-04-26 12:08:26","0","This section typically applies to new facilities although it is possible an existing facility implemented some of these solutions."
"3","1.2","H2","1","Design Process","4","2","Universal Design Education","2","0",,"0","2","3","0","2","0",,"2 Credits: Implement 2 of 3","2021-04-26 12:08:26","0","This section typically applies to new facilities although it is possible an existing facility implemented some of these solutions."
"4","2","H1","2","Space Clearances","7","0",,"0","0",,"0","7","0","0","0","0",,,"2019-08-20 17:32:17","0",
"5","2.1","H2","2","Space Clearances","7","1","Clear Floor Space","2","0",,"0","2","2","1","2","0",,"2 Credits: Implement 2 of 2      |      1 Credit: Implement 1 of 2","2019-08-20 17:27:41","0","For a solution to count toward credit, the solution must be implemented in ALL places where an applicable accessibility standard requires a clear floor space and wherever isUD references a clear floor space."
"6","2.2","H2","2","Space Clearances","7","2","Turning Space","2","0",,"0","2","7","3","5","0",,"2 Credits: Implement 5 of 7      |      1 Credit: Implement 3 of 7","2019-08-20 17:27:41","0","For a solution to count toward credit, the solution must be implemented in ALL places where an applicable accessibility standard requires the indicated type of turning space and wherever isUD references a turning space."
"7","2.3","H2","2","Space Clearances","7","3","Knee and Toe Clearance","1","0",,"0","1","6","4","0","0",,"1 Credit: Implement 4 of 6","2019-08-20 17:27:41","0","For a solution to count toward credit, the solution must be implemented in ALL places where an applicable accessibility standard requires the indicated knee or toe clearance and wherever isUD references knee or toe space."
"8","2.4","H2","2","Space Clearances","7","4","Reach Targets","2","0",,"0","2","8","5","6","0",,"2 Credits: Implement 6 of 8      |      1 Credit: Implement 5 of 8","2019-08-20 17:27:41","0","For a solution to count toward credit, the solution must be implemented in ALL places required to be accessible by applicable accessibility standards or wherever otherwise referenced by isUD. The solution must be implemented for ALL reach targets in the facility, except where the solution states ""Selected."" In these cases, the designer must identify and implement the solution on a specific set of targets (e.g., ""all electrical outlets and light switches,"" or ""all public areas"")."
"9","3","H1","3","Circulation","15","0",,"0","0",,"0","15","0","0","0","0",,,"2019-08-20 17:32:17","0",
"10","3.1","H2","3","Circulation","15","1","Wayfinding","2","0",,"0","2","9","3","5","0",,"2 Credits: Implement 5 of 9      |      1 Credit: Implement 3 of 9","2021-04-26 12:08:26","0","This section applies to the entire facility."
"19","3.10","H2","3","Circulation","15","10","Elevators","1","0",,"0","1","6","3","0","0",,"1 Credit: Implement 3 of 6","2021-04-26 12:08:26","0","For a solution to count toward credit, the solution must be implemented for ALL elevators, unless otherwise specified (e.g., ""all elevators with security access controls"")."
"20","3.11","H2","3","Circulation","15","11","Escalators","1","0",,"0","1","2","1","0","0",,"1 Credit: Implement 1 of 2","2019-08-20 17:27:41","0","For a solution to count toward credit, the solution must be implemented for ALL escalators."
"21","3.12","H2","3","Circulation","15","12","Moving Walkways","1","0",,"0","1","4","2","0","0",,"1 Credit: Implement 2 of 4","2019-08-20 17:27:41","0","For a solution to count toward credit, the solution must be implemented for ALL moving walkways."
